iter	Passed	Remaining
401	16542	8147
402	16589	8109
403	16633	8069
404	16679	8030
405	16718	7988
406	16759	7947
407	16802	7907
408	16854	7870
409	16897	7830
410	16941	7790
411	16981	7748
412	17020	7706
413	17070	7669
414	17112	7628
415	17150	7585
416	17191	7544
417	17242	7507
418	17287	7467
419	17327	7426
420	17370	7385
421	17412	7344
422	17457	7304
423	17497	7263
424	17539	7222
425	17580	7180
426	17623	7140
427	17662	7097
428	17698	7054
429	17739	7013
430	17783	6973
431	17828	6933
432	17884	6897
433	17925	6856
434	17970	6816
435	18013	6775
436	18058	6735
437	18098	6694
438	18145	6654
439	18187	6613
440	18223	6570
441	18268	6530
442	18313	6490
443	18354	6448
444	18401	6409
445	18447	6369
446	18492	6329
447	18532	6287
448	18574	6246
449	18615	6205
450	18654	6163
451	18693	6120
452	18734	6079
453	18779	6039
454	18831	6001
455	18880	5962
456	18923	5921
457	18961	5878
458	19005	5838
459	19047	5797
460	19095	5757
461	19148	5719
462	19200	5681
463	19248	5641
464	19300	5603
465	19352	5564
466	19409	5527
467	19462	5489
468	19508	5449
469	19559	5409
470	19602	5368
471	19645	5327
472	19694	5288
473	19739	5247
474	19790	5208
475	19846	5170
476	19899	5131
477	19947	5091
478	20002	5052
479	20047	5011
480	20082	4968
481	20134	4929
482	20176	4887
483	20213	4844
484	20264	4804
485	20314	4765
486	20362	4724
487	20412	4684
488	20453	4642
489	20495	4600
490	20539	4559
491	20582	4518
492	20627	4476
493	20668	4434
494	20710	4393
495	20750	4350
496	20789	4308
497	20841	4268
498	20885	4227
499	20931	4186
500	20971	4144
501	21014	4102
502	21055	4060
503	21098	4018
504	21144	3977
505	21189	3936
506	21232	3894
507	21269	3851
508	21307	3809
509	21354	3768
510	21394	3726
511	21431	3683
512	21471	3641
513	21513	3599
514	21552	3557
515	21593	3515
516	21632	3472
517	21670	3430
518	21704	3387
519	21743	3345
520	21784	3303
521	21826	3261
522	21866	3219
523	21911	3178
524	21954	3136
525	21991	3093
526	22033	3052
527	22072	3009
528	22111	2967
529	22147	2925
530	22186	2883
531	22221	2840
532	22257	2797
533	22301	2756
534	22341	2714
535	22383	2672
536	22426	2631
537	22467	2589
538	22508	2547
539	22549	2505
540	22588	2463
541	22625	2421
542	22663	2379
543	22698	2336
544	22736	2294
545	22771	2252
546	22809	2210
547	22851	2168
548	22889	2126
549	22929	2084
550	22974	2043
551	23010	2000
552	23046	1958
553	23085	1916
554	23120	1874
555	23160	1832
556	23198	1790
557	23241	1749
558	23275	1707
559	23315	1665
560	23354	1623
561	23392	1581
562	23433	1540
563	23467	1497
564	23506	1456
565	23546	1414
566	23583	1372
567	23621	1330
568	23660	1289
569	23694	1247
570	23729	1205
571	23771	1163
572	23813	1122
573	23853	1080
574	23892	1038
575	23912	996
576	23953	954
577	23989	913
578	24028	871
579	24064	829
580	24100	788
581	24135	746
582	24180	705
583	24216	663
584	24251	621
585	24289	580
586	24330	538
587	24371	497
588	24407	455
589	24449	414
590	24483	372
591	24520	331
592	24567	290
593	24603	248
594	24635	207
595	24671	165
596	24704	124
597	24737	82
598	24771	41
599	24811	0
